Name,City,State,Tags,Shakespeare Productions,Annual Productions,Budget,Founded,Select,URL
Heart of America Shakespeare Festival,Kansas City,MO - Missouri,,,,,,,
St. Louis Shakespeare Festival,St. Louis,MO - Missouri,,Untitled (https://www.notion.so/eb8bdb6f0c5b4767a846a852ab5828c0?pvs=21),,,,,
Belt on the Fringe,Belt,MT - Montana,,,,,,,
Montana Shakespeare in the Parks,Bozemon,MT - Montana,,,,,,,
Flatwater Shakespeare Company,Lincoln,NE - Nebraska,,,,,,,
Nebraska Shakespeare,Omaha,NE - Nebraska,,,,,,,
Lake Tahoe Shakespeare Festival,Lake Tahoe,NV - Nevada,,Untitled (https://www.notion.so/7c65bd7255834b06bf27d70af0570b77?pvs=21),,,,,
Nevada Shakespeare in the Park,Las Vegas,NV - Nevada,,,,,,,
Advice to the Players,Sandwich,NH - New Hampshire,,,,,,,
New Hampshire Shakespeare Festival,Concord,NH - New Hampshire,,,,,,,
The Shakespeare Initiative,Roxbery,NJ - New Jersey,,,,,,,
Two River Theater,Red Bank,NJ - New Jersey,,,,,,,
Hudson Shakespeare Company,Jersey City,NJ - New Jersey,,,,,,,
The Apocryphal Shakespeare Company,Haddonfield,NJ - New Jersey,,,,,,,
Shakespeare Theatre of New Jersey,Madison,NJ - New Jersey,,,,,,,
The Curtain,Jersey City,NJ - New Jersey,,,,,,,
Actors Shakespeare Company,Jersey City,NJ - New Jersey,,,,,,,
The Shakespeare Theatre,Madison,NJ - New Jersey,,"Untitled (https://www.notion.so/377d3b51c5664d128e7ef4a41b8779fc?pvs=21), Untitled (https://www.notion.so/a4a10bb92b264af9a7eaa884ceed7cff?pvs=21)",,,,,https://the-shakespeare.org
New Jersey Shakespeare Festival,Madison,NJ - New Jersey,,,,,,,
Incite Shakespeare Company Sante Fe,Sante Fe,NM - New Mexico,,,,,,,
Santa Fe Shakespeare Festival,Santa Fe,NM - New Mexico,,Untitled (https://www.notion.so/54d7fd08938c4b4e82a533f7121c7af0?pvs=21),,,,,
Shake on the Lake,Silver Lake,NY - New York,,,,,,,
The Shakespeare Forum,New York,NY - New York,,,,,,,
Manhattan Shakespeare Project,New York,NY - New York,,,,,,,
Judith Shakespaere Company,New York,NY - New York,,,,,,,
Hudson Warehouse,New York,NY - New York,,,,,,,
Hamlet Isn’t Dead,New York,NY - New York,,,,,,,
The Guerrilla Shakespeare Project,New York,NY - New York,,,,,,,
Estraña Theatre Company,New York,NY - New York,,,,,,,
Fiasco,New York,NY - New York,,,,,,,https://fiasco.net
The Drilling Company,New York ,NY - New York,,,,,,,
Classic Stage Company,New York ,NY - New York,,,,,,,
Bedlam,New York,NY - New York,,,,,,,https://bedlam.org
Aquila Theatre,New York,NY - New York,,,,,,,https://aquila.org
Theater for a New Audience,Brooklyn,NY - New York,,,,,,,
Theatre 2020,Brooklyn,NY - New York,,,,,,,
St. Ann’s Warehouse,Brooklyn,NY - New York,,,,,,,
Smith Street Stage,Brooklyn,NY - New York,,,,,,,
Ready Set Go Theatre Co.,Brooklyn,NY - New York,,,,,,,
BAM,Brooklyn,NY - New York,,,,,,,https://www.bam.org
Syracuse Shakespeare Festival,Syracuse,NY - New York,,,,,,,
Saratoga Shakespeare Company,Saratoga,NY - New York,,,,,,,
New York Classical Theatre,New York,NY - New York,,,,,,,
Ithica Shakespeare Company,Ithica,NY - New York,,,,,,,
Harlem Shakespeare Festival,Harlem,NY - New York,,,,,,,
Classic Theatre of Harlem,Harlem,NY - New York,,,,,,,
Children’s Shakespeare Company,Orangeburg,NY - New York,,,,,,,
Shakespeare at Delaware Park,Buffalo,NY - New York,,,,,,,
Hudson Valley Shakespeare Festival,Garrison,NY - New York,,,,,,,
Public Theater,New York,NY - New York,,Untitled (https://www.notion.so/1afd371aeb264ccf8873bf03d7c2b208?pvs=21),,,,,https://public.org
Playmakers Repertory Company,Chapel Hill,NC - North Carolina,,,,,,,
Sweet Tea Shakespeare,Fayetteville,NC - North Carolina,,,,,,,
Shared Radiance Performing Arts Company,Pleasant Garden,NC - North Carolina,,,,,,,
Montford Park Players,Asheville,NC - North Carolina,,,,,,,
Alchemical Theatre Company,Wilmington,NC - North Carolina,,,,,,,
Asheville Shakepeare Festival,Asheville,NC - North Carolina,,,,,,,
North Dakota Shakespeare Festival,Fargo,ND - North Dakota,,,,,,,
Actors’ Theatre of Columbus,Columbus,OH - Ohio,,,,,,,
The Cleveland Shakespeare Festival,Cleveland,OH - Ohio,,,,,,,
Ohio Shakespeare Festival,Kent,OH - Ohio,,,,,,,
Cincinnati Shakespeare Company,Cincinnati,OH - Ohio,,"Untitled (https://www.notion.so/58dd6ff85ba241b196bf4c1df9798404?pvs=21), Untitled (https://www.notion.so/37595767d61a4070abfb3caf800f07f5?pvs=21), Untitled (https://www.notion.so/64bd6c6db2f14a97a0a7d08a398d2cf5?pvs=21)",,,,,
Oklahoma Shakespeare in the Park,Oklahoma City,OK - Oklahoma,,,,,,,
Portland Actors Ensemble,Portland,OR - Oregon,,,,,,,
Northwest Classical Theatre Company,Portland,OR - Oregon,,,,,,,
Original Practice Shakespeare Company,Portland,OR - Oregon,,,,,,,
Willamette Shakespeare,Portland,OR - Oregon,,,,,,,
Portland Shakespaere Project,Portland,OR - Oregon,,,,,,,
Oregon Shakespeare Festival,Ashland,OR - Oregon,,"Untitled (https://www.notion.so/d0c6400bea5f4fdd8649be5d07976195?pvs=21), Untitled (https://www.notion.so/94dd2fc0bd6c45c9a3b5e68c21b5c2e6?pvs=21), Untitled (https://www.notion.so/687f8bd785c144b59ed9df17c6c42891?pvs=21)",,,,,
